QB,Report,Note
Toast:Food Sales,Kitchen | Sushi | Happy Hour,Sales Category - Gross Sales
Toast:Bar Sales,Beer + Wine | Liquor | NA Bev,Sales Category - Gross Sales
Discount/comp/Payment error,Sales discounts,Net Sales Summary
Tips,Tips + Gratuity,Revenue Summary
Sales tax,Tax amount,Revenue Summary
Gift Cards Sold,Deferred (gift cards),Revenue Summary
CASH 2021,Total of Cash,Payments Summary
Credit Card,Total of Credit/debit,Payments Summary
Gift Cards Sold,Total of Gift Card,Payments Summary
Door Dash,DoorDash,Payments Summary - Other sub type
Grub hub,Grubhub,Payments Summary - Other sub type
UberE,Uber Eats,Payments Summary - Other sub type
Over/Short,auto-balance,Calculated
